縣市別,經度,緯度,(1)宋楚瑜&余湘,(2)韓國瑜&張善政,(3)蔡英文&賴清德,有效票數,無效票數,投票數,選舉人數
全,279556.618,2762085.837,"608,590","5,522,119","8,170,231","14,300,940","163,631","14,464,571","19,311,105"
臺北市,121.5654,25.032,"70,769","685,830","875,854","1,632,453","21,381","1,653,834","2,167,264"
新北市,121.4194,24.9887,"112,620","959,631","1,393,936","2,466,187","28,041","2,494,228","3,321,459"
桃園市,121.3012,24.9937,"63,132","529,749","718,260","1,311,141","14,066","1,325,207","1,780,755"
臺中市,120.67,24.1497,"84,800","646,366","967,304","1,698,470","20,550","1,719,020","2,251,064"
臺南市,120.188,23,"41,075","339,702","786,471","1,167,248","12,341","1,179,589","1,556,845"
高雄市,120.3114,22.6273,"55,309","610,896","1,097,621","1,763,826","17,006","1,780,832","2,299,558"
新竹縣,121.1252,24.7033,"18,435","154,224","152,380","325,039","3,970","329,009","438,049"
苗栗縣,120.9417,24.4924,"15,222","164,345","147,034","326,601","3,578","330,179","447,422"
彰化縣,120.5404,24.0672,"35,060","291,835","436,336","763,231","10,277","773,508","1,035,507"
南投縣,120.9876,23.8388,"13,315","133,791","152,046","299,152","3,555","302,707","413,485"
雲林縣,120.3952,23.7077,"15,331","138,341","246,116","399,788","5,203","404,991","565,269"
嘉義縣,120.5209,23.4755,"11,138","98,810","197,342","307,290","3,748","311,038","428,640"
屏東縣,120.488,22.5495,"14,021","179,353","317,676","511,050","4,992","516,042","688,793"
宜蘭縣,121.6336,24.702,"10,739","90,010","173,657","274,406","3,029","277,435","375,608"
花蓮縣,121.3542,23.7569,"6,869","111,834","66,509","185,212","2,081","187,293","269,558"
臺東縣,121.113,22.7554,"4,163","67,413","44,092","115,668","1,119","116,787","179,536"
澎湖縣,119.5644,23.5697,"2,583","20,911","27,410","50,904",644,"51,548","88,432"
基隆市,121.7517,25.1294,"11,878","99,360","114,966","226,204","2,458","228,662","311,801"
新竹市,120.9637,24.8036,"14,103","102,725","144,274","261,102","3,423","264,525","345,345"
嘉義市,120.4472,23.4755,"6,204","56,269","99,265","161,738","1,664","163,402","215,055"
金門縣,118.3122,24.4301,"1,636","35,948","10,456","48,040",423,"48,463","120,721"
連江縣,119.5397,26.1976,188,"4,776","1,226","6,190",82,"6,272","10,939"
